58) boot:  0 nvs              WiFi data        01 02 00009000 00006000
I (66) boot:  1 phy_init         RF data          01 01 0000f000 00001000
I (73) boot:  2 factory          factory app      00 00 00010000 00100000
I (81) boot: End of partition table
I (85) esp_image: segment 0: paddr=0x00010020 vaddr=0x3f400020 size=0x23820 (145440) map
I (145) esp_image: segment 1: paddr=0x00033848 vaddr=0x3ffb0000 size=0x03164 ( 12644) load
I (150) esp_image: segment 2: paddr=0x000369b4 vaddr=0x40080000 size=0x00400 (  1024) load
I (152) esp_image: segment 3: paddr=0x00036dbc vaddr=0x40080400 size=0x09254 ( 37460) load
I (176) esp_image: segment 4: paddr=0x00040018 vaddr=0x400d0018 size=0x8cad8 (576216) map
I (378) esp_image: segment 5: paddr=0x000ccaf8 vaddr=0x40089654 size=0x06a4c ( 27212) load
I (399) boot: Loaded app from partition at offset 0x10000
I (399) boot: Disabling RNG early entropy source...
I (400) cpu_start: Pro cpu up.
I (403) cpu_start: Application information:
I (408) cpu_start: Project name:     akkaEsp32
I (413) cpu_start: App version:      v0.3-58-g421e464-dirty
I (420) cpu_start: Compile time:     Aug  1 2019 23:12:22
I (426) cpu_start: ELF file SHA256:  4a85524c328c8d67...
I (432) cpu_start: ESP-IDF:          v4.0-dev-459-gba1ff1692-dirty
I (439) cpu_start: Starting app cpu, entry point is 0x4008106c
I (0) cpu_start: App cpu up.
I (449) heap_init: Initializing. RAM available for dynamic allocation:
I (456) heap_init: At 3FFAE6E0 len 00001920 (6 KiB): DRAM
I (462) heap_init: At 3FFB9AB0 len 00026550 (153 KiB): DRAM
I (468) heap_init: At 3FFE0440 len 00003AE0 (14 KiB): D/IRAM
I (474) heap_init: At 3FFE4350 len 0001BCB0 (111 KiB): D/IRAM
I (481) heap_init: At 400900A0 len 0000FF60 (63 KiB): IRAM
I (487) cpu_start: Pro cpu start user code
I (60) cpu_start: Starting scheduler on PRO CPU.
I (0) cpu_start: Starting scheduler on APP CPU.
  3FFBC7A0 I |       25 | ESP32-14936 |        main.cpp:  79 | Starting Akka on ESP8266 heap : 264508 
  3FFBC7A0 I |       29 | remote |        Akka.cpp: 786 |  ActorCell created remote/wifi mailbox [3FFC59AC]
I (240) phy: phy_version: 4100, 2a5dd04, Jan 23 2019, 21:00:07, 0, 0
  3FFC81DC I |      153 | remote |        Wifi.cpp:  79 | SYSTEM_EVENT_STA_STOP
  3FFC81DC I |      155 | remote |        Wifi.cpp:  85 | SYSTEM_EVENT_STA_START
  3FFC81DC I |      161 | remote |        Wifi.cpp: 162 |  starting WiFi scan.
  3FFBC7A0 I |      172 | remote |        Mqtt.cpp:  18 | mqtt url 'mqtt://iot.eclipse.org:1883' 
  3FFBC7A0 I |      178 | remote |        Akka.cpp: 786 |  ActorCell created remote/mqtt mailbox [3FFCEB80]
  3FFBC7A0 I |      190 | remote |        Akka.cpp: 786 |  ActorCell created remote/bridge mailbox [3FFD5B24]
  3FFBC7A0 I |      199 | remote |        Akka.cpp: 786 |  ActorCell created remote/system mailbox [3FFD60D8]
  3FFBC7A0 I |      205 | remote | Hardware_ESP32.cpp: 134 |  DigitalOut Init 2 
  3FFBC7A0 I |      216 | remote |        Akka.cpp: 786 |  ActorCell created remote/config mailbox [3FFCEB2C]
  3FFBC7A0 I |      224 | remote |        Akka.cpp: 786 |  ActorCell created remote/remote mailbox [3FFD6BC4]
  3FFBC7A0 I |      232 | remote |  Controller.cpp:  23 |  Controller started 
  3FFBC7A0 I |      239 | remote | Hardware_ESP32.cpp: 134 |  DigitalOut Init 23 
  3FFBC7A0 I |      246 | remote | Hardware_ESP32.cpp: 134 |  DigitalOut Init 32 
  3FFBC7A0 I |      253 | remote | Hardware_ESP32.cpp: 394 |  ADC init pin 36 
  3FFBC7A0 I |      260 | remote | Hardware_ESP32.cpp: 394 |  ADC init pin 39 
eFuse Two Point: NOT supported
eFuse Vref: NOT supported
  3FFBC7A0 I |      272 | remote | Hardware_ESP32.cpp:  50 |  DigitalIn Init 13 
  3FFBC7A0 I |      279 | remote | Hardware_ESP32.cpp:  50 |  DigitalIn Init 16 
  3FFBC7A0 I |      293 | remote |      Config.cpp: 149 | save : {}
  3FFC81DC I |     2222 | remote |        Wifi.cpp:  74 | SYSTEM_EVENT_SCAN_DONE
  3FFC81DC I |     2223 | remote |        Wifi.cpp: 135 |  found 5 AP's 
  3FFC81DC I |     2226 | remote |        Wifi.cpp: 146 |  Merckx3 : -76 
  3FFC81DC I |     2232 | remote |        Wifi.cpp: 146 |  Merckx2 : -78 
  3FFC81DC I |     2238 | remote |        Wifi.cpp: 146 |  telenet-E52A7 : -81 
  3FFC81DC I |     2245 | remote |        Wifi.cpp: 146 |  TelenetWiFree : -81 
  3FFC81DC I |     2252 | remote |        Wifi.cpp: 146 |  TELENETHOMESPOT : -82 
  3FFC81DC I |     2259 | remote |        Wifi.cpp: 119 |  connecting to SSID : Merckx3
  3FFC81DC I |     3802 | remote |        Wifi.cpp: 100 | SYSTEM_EVENT_STA_CONNECTED
  3FFC81DC I |     4536 | remote |        Wifi.cpp:  90 | SYSTEM_EVENT_STA_GOT_IP
  3FFBB33C I |     4539 | remote |        Mqtt.cpp:  91 |  WIFI CONNECTED !!
  3FFBCF90 I |     5214 | remote |      System.cpp:  16 |  heap:164484 stack:4584 heap free :229824 largest block : 113804 
  3FFBCF90 I |    10215 | remote |      System.cpp:  16 |  heap:162912 stack:3784 heap free :228252 largest block : 113804 
  3FFBB33C I |    12990 | remote |        Mqtt.cpp: 111 | MQTT_EVENT_CONNECTED to mqtt://iot.eclipse.org:1883
  3FFBB33C I |    12993 | remote |        Mqtt.cpp: 194 | Subscribing to topic dst/remote 
  3FFBB33C I |    12998 | remote |        Mqtt.cpp: 194 | Subscribing to topic dst/remote/# 
  3FFBB33C I |    13007 | remote |      Bridge.cpp: 100 |  MQTT CONNECTED
  3FFBCF90 I |    13184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    13196 | remote |        Mqtt.cpp: 186 | PUB : src/remote/mqtt/clientId = "remote/mqtt#12345"
  3FFBCF90 I |    13286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 516
  3FFBCF90 I |    14184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
  3FFBCF90 I |    14195 | remote |        Mqtt.cpp: 186 | PUB : src/remote/bridge/txd = 0
  3FFBCF90 I |    14286 | remote |        Mqtt.cpp: 186 | PUB : src/remote/remote/potLeft = 518
  3FFBCF90 I |    15184 | remote |        Mqtt.cpp: 186 | PUB : src/remote/system/alive = true
